No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Part Name,LCSC Price,LCSC Link
32,11,10kΩ,"R1,R5,R6,R7,R8,R15,R16,R17,R21,RESETB_PU,R_IO0",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC,厚膜电阻 10kΩ ±1% 100mW,,https://www.lcsc.com/product-detail/C25804.html
33,4,33Ω,"R2,R4,R9,R10",R1206,33Ω,CR1206F433R0G,LIZ(丽智电子),C102174,LCSC,厚膜电阻 33Ω ±1% 250mW,,https://www.lcsc.com/product-detail/C102174.html
34,1,68Ω,R3,R0603,68Ω,0603WAF680JT5E,UNI-ROYAL(厚声),C27592,LCSC,68Ω ±1% 100mW 厚膜电阻,,https://www.lcsc.com/product-detail/C27592.html
35,1,560kΩ,R12,R0603,560kΩ,0603WAF5603T5E,UNI-ROYAL(厚声),C23203,LCSC,560kΩ ±1% 100mW 厚膜电阻,,https://www.lcsc.com/product-detail/C23203.html
36,3,100Ω,"R20,R24,R25",R0603,100Ω,0603WAF1000T5E,UNI-ROYAL(厚声),C22775,LCSC,100Ω ±1% 100mW 厚膜电阻,,https://www.lcsc.com/product-detail/C22775.html
37,1,470Ω,R22,R0603,470Ω,0603WAF4700T5E,UNI-ROYAL(厚声),C23179,LCSC,470Ω ±1% 100mW 厚膜电阻,,https://www.lcsc.com/product-detail/C23179.html
38,2,1kΩ,"R,R13",R0603,1kΩ,CR0603FA1001G,LIZ(丽智电子),C126900,LCSC,厚膜电阻 1kΩ ±1% 100mW,,https://www.lcsc.com/product-detail/C126900.html
39,1,5.1kΩ,RT1,R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC,厚膜电阻 5.1kΩ ±1%,,https://www.lcsc.com/product-detail/C23186.html
40,1,30kΩ,RT2,R0603,30kΩ,CR0603FA3002G,LIZ(丽智电子),C100945,LCSC,厚膜电阻 30kΩ ±1% 100mW,,https://www.lcsc.com/product-detail/C100945.html
41,2,5.1kΩ,"R_CC5,R_CC6",R0402,5.1kΩ,0402WGF5101TCE,UNI-ROYAL(厚声),C25905,LCSC,5.1kΩ ±1% 62.5mW 厚膜电阻,,https://www.lcsc.com/product-detail/C25905.html
42,2,22Ω,"R_CC7,R_CC8",R0402,22Ω,0402WGF220JTCE,UNI-ROYAL(厚声),C25092,LCSC,22Ω ±1% 62.5mW 厚膜电阻,,https://www.lcsc.com/product-detail/C25092.html
43,1,47nF,U4,C0805,47nF,CC0805KRX7R9BB473,YAGEO(国巨),C107154,LCSC,47nF ±10% 50V,,https://www.lcsc.com/product-detail/C107154.html
44,1,TYPE-C-31-M-12,USBC,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC,Type-C 母 卧贴,,https://www.lcsc.com/product-detail/C165948.html
45,1,ME6211C33M5G-N,Voltage_Reg,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,ME6211C33M5G-N,MICRONE(南京微盟),C82942,LCSC,3.3V 500mA 6V,,https://www.lcsc.com/product-detail/C82942.html
46,1,TPLP5907MFX-1.5,Voltage_Reg1.5V,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,TPLP5907MFX-1.5,TECH PUBLIC(台舟),C49451987,LCSC,1.5V 300mA 5.5V,,https://www.lcsc.com/product-detail/C49451987.html
47,1,LP5907MFX-2.8/NOPB,Voltage_Reg2.8V,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,LP5907MFX-2.8/NOPB,TI(德州仪器),C186700,LCSC,2.8V 250mA 5.5V,,https://www.lcsc.com/product-detail/C186700.html
